ox/red	time/s	Ecell/V	I/mA	
1	0.000000000000000E+000	2.6112936E+000	0.0000000E+000
1	6.000000284984708E+001	2.6118844E+000	0.0000000E+000
1	1.200000056996942E+002	2.6125538E+000	0.0000000E+000
1	1.800000085495412E+002	2.6134596E+000	0.0000000E+000
1	2.400000113993883E+002	2.6143653E+000	0.0000000E+000
1	3.000000142492354E+002	2.6153104E+000	0.0000000E+000
1	3.600000170990825E+002	2.6162949E+000	0.0000000E+000
1	4.200000199489295E+002	2.6172795E+000	0.0000000E+000
1	4.800000227987766E+002	2.6184216E+000	0.0000000E+000
1	5.400000256486237E+002	2.6192880E+000	0.0000000E+000
1	6.000000284984708E+002	2.6201937E+000	0.0000000E+000
1	6.600000313483179E+002	2.6211782E+000	0.0000000E+000
1	7.200000341981649E+002	2.6221232E+000	0.0000000E+000
1	7.800000370480120E+002	2.6230290E+000	0.0000000E+000
1	8.400000398978591E+002	2.6239741E+000	0.0000000E+000
1	9.000000427477062E+002	2.6247618E+000	0.0000000E+000
1	9.600000455975533E+002	2.6255493E+000	0.0000000E+000
1	1.020000048447400E+003	2.6264551E+000	0.0000000E+000
1	1.080000051297247E+003	2.6271639E+000	0.0000000E+000
1	1.140000054147094E+003	2.6278727E+000	0.0000000E+000
1	1.200000056996942E+003	2.6286604E+000	0.0000000E+000
1	1.260000059846789E+003	2.6293693E+000	0.0000000E+000
1	1.320000062696636E+003	2.6300387E+000	0.0000000E+000
1	1.380000065546483E+003	2.6307082E+000	0.0000000E+000
1	1.440000068396330E+003	2.6314170E+000	0.0000000E+000
1	1.500000071246177E+003	2.6320078E+000	0.0000000E+000
1	1.560000074096024E+003	2.6327167E+000	0.0000000E+000
1	1.620000076945871E+003	2.6333861E+000	0.0000000E+000
1	1.680000079795718E+003	2.6338980E+000	0.0000000E+000
1	1.740000082645565E+003	2.6345675E+000	0.0000000E+000
1	1.800000085495412E+003	2.6351581E+000	0.0000000E+000
1	1.860000088345259E+003	2.6357095E+000	0.0000000E+000
1	1.920000091195107E+003	2.6362214E+000	0.0000000E+000
1	1.980000094044954E+003	2.6367333E+000	0.0000000E+000
1	2.040000096894801E+003	2.6373241E+000	0.0000000E+000
1	2.100000099744648E+003	2.6377966E+000	0.0000000E+000
1	2.160000102594495E+003	2.6383874E+000	0.0000000E+000
1	2.220000105444342E+003	2.6387811E+000	0.0000000E+000
1	2.280000108294189E+003	2.6392143E+000	0.0000000E+000
1	2.340000111144036E+003	2.6396081E+000	0.0000000E+000
1	2.400000113993883E+003	2.6400414E+000	0.0000000E+000
1	2.460000116843730E+003	2.6405532E+000	0.0000000E+000
1	2.520000119693577E+003	2.6410651E+000	0.0000000E+000
1	2.580000122543424E+003	2.6414590E+000	0.0000000E+000
1	2.640000125393271E+003	2.6418922E+000	0.0000000E+000
1	2.700000128243119E+003	2.6422071E+000	0.0000000E+000
1	2.760000131092966E+003	2.6427193E+000	0.0000000E+000
1	2.820000133942813E+003	2.6432312E+000	0.0000000E+000
1	2.880000136792660E+003	2.6436644E+000	0.0000000E+000
1	2.940000139642507E+003	2.6440582E+000	0.0000000E+000
1	3.000000142492354E+003	2.6445701E+000	0.0000000E+000
1	3.060000145342201E+003	2.6449640E+000	0.0000000E+000
1	3.120000148192048E+003	2.6453969E+000	0.0000000E+000
1	3.180000151041895E+003	2.6457515E+000	0.0000000E+000
1	3.240000153891742E+003	2.6460664E+000	0.0000000E+000
1	3.300000156741589E+003	2.6464996E+000	0.0000000E+000
1	3.360000159591436E+003	2.6469328E+000	0.0000000E+000
1	3.420000162441283E+003	2.6472874E+000	0.0000000E+000
1	3.480000165291131E+003	2.6476417E+000	0.0000000E+000
1	3.540000168140978E+003	2.6479962E+000	0.0000000E+000
