ox/red	time/s	Ecell/V	I/mA	
1	0.000000000000000E+000	2.5443249E+000	0.0000000E+000
1	6.000000284984708E+001	2.5457032E+000	0.0000000E+000
1	1.200000056996942E+002	2.5474753E+000	0.0000000E+000
1	1.800000085495412E+002	2.5490899E+000	0.0000000E+000
1	2.400000113993883E+002	2.5507834E+000	0.0000000E+000
1	3.000000142492354E+002	2.5523584E+000	0.0000000E+000
1	3.600000170990825E+002	2.5539732E+000	0.0000000E+000
1	4.200000199489295E+002	2.5556664E+000	0.0000000E+000
1	4.800000227987766E+002	2.5572023E+000	0.0000000E+000
1	5.400000256486237E+002	2.5588562E+000	0.0000000E+000
1	6.000000284984708E+002	2.5603526E+000	0.0000000E+000
1	6.600000313483179E+002	2.5620461E+000	0.0000000E+000
1	7.200000341981649E+002	2.5635030E+000	0.0000000E+000
1	7.800000370480120E+002	2.5649996E+000	0.0000000E+000
1	8.400000398978591E+002	2.5665352E+000	0.0000000E+000
1	9.000000427477062E+002	2.5679135E+000	0.0000000E+000
1	9.600000455975533E+002	2.5693314E+000	0.0000000E+000
1	1.020000048447400E+003	2.5706701E+000	0.0000000E+000
1	1.080000051297247E+003	2.5721273E+000	0.0000000E+000
1	1.140000054147094E+003	2.5734270E+000	0.0000000E+000
1	1.200000056996942E+003	2.5747657E+000	0.0000000E+000
1	1.260000059846789E+003	2.5760653E+000	0.0000000E+000
1	1.320000062696636E+003	2.5772467E+000	0.0000000E+000
1	1.380000065546483E+003	2.5785856E+000	0.0000000E+000
1	1.440000068396330E+003	2.5798063E+000	0.0000000E+000
1	1.500000071246177E+003	2.5811059E+000	0.0000000E+000
1	1.560000074096024E+003	2.5822480E+000	0.0000000E+000
1	1.620000076945871E+003	2.5835476E+000	0.0000000E+000
1	1.680000079795718E+003	2.5846503E+000	0.0000000E+000
1	1.740000082645565E+003	2.5857923E+000	0.0000000E+000
1	1.800000085495412E+003	2.5869343E+000	0.0000000E+000
1	1.860000088345259E+003	2.5880368E+000	0.0000000E+000
1	1.920000091195107E+003	2.5892971E+000	0.0000000E+000
1	1.980000094044954E+003	2.5903604E+000	0.0000000E+000
1	2.040000096894801E+003	2.5915024E+000	0.0000000E+000
1	2.100000099744648E+003	2.5924475E+000	0.0000000E+000
1	2.160000102594495E+003	2.5934319E+000	0.0000000E+000
1	2.220000105444342E+003	2.5946133E+000	0.0000000E+000
1	2.280000108294189E+003	2.5956373E+000	0.0000000E+000
1	2.340000111144036E+003	2.5966611E+000	0.0000000E+000
1	2.400000113993883E+003	2.5976851E+000	0.0000000E+000
1	2.460000116843730E+003	2.5987089E+000	0.0000000E+000
1	2.520000119693577E+003	2.5996933E+000	0.0000000E+000
1	2.580000122543424E+003	2.6005991E+000	0.0000000E+000
1	2.640000125393271E+003	2.6015441E+000	0.0000000E+000
1	2.700000128243119E+003	2.6025288E+000	0.0000000E+000
1	2.760000131092966E+003	2.6034346E+000	0.0000000E+000
1	2.820000133942813E+003	2.6044190E+000	0.0000000E+000
1	2.880000136792660E+003	2.6052854E+000	0.0000000E+000
1	2.940000139642507E+003	2.6061912E+000	0.0000000E+000
1	3.000000142492354E+003	2.6069787E+000	0.0000000E+000
1	3.060000145342201E+003	2.6080027E+000	0.0000000E+000
1	3.120000148192048E+003	2.6088688E+000	0.0000000E+000
1	3.180000151041895E+003	2.6097353E+000	0.0000000E+000
1	3.240000153891742E+003	2.6105623E+000	0.0000000E+000
1	3.300000156741589E+003	2.6113498E+000	0.0000000E+000
1	3.360000159591436E+003	2.6122162E+000	0.0000000E+000
1	3.420000162441283E+003	2.6132796E+000	0.0000000E+000
1	3.480000165291131E+003	2.6139491E+000	0.0000000E+000
1	3.540000168140978E+003	2.6146972E+000	0.0000000E+000
1	3.600000170990825E+003	2.6154847E+000	0.0000000E+000
1	3.660000173840672E+003	2.6164298E+000	0.0000000E+000
1	3.720000176690519E+003	2.6170993E+000	0.0000000E+000
1	3.780000179540366E+003	2.6178477E+000	0.0000000E+000
1	3.840000182390213E+003	2.6186352E+000	0.0000000E+000
1	3.900000185240060E+003	2.6195016E+000	0.0000000E+000
1	3.960000188089907E+003	2.6202104E+000	0.0000000E+000
1	4.020000190939754E+003	2.6209586E+000	0.0000000E+000
1	4.080000193789601E+003	2.6216280E+000	0.0000000E+000
1	4.140000196639448E+003	2.6223762E+000	0.0000000E+000
1	4.200000199489295E+003	2.6230457E+000	0.0000000E+000
1	4.260000202339143E+003	2.6238334E+000	0.0000000E+000
1	4.320000205188990E+003	2.6244636E+000	0.0000000E+000
1	4.380000208038837E+003	2.6250935E+000	0.0000000E+000
1	4.440000210888684E+003	2.6258023E+000	0.0000000E+000
1	4.500000213738531E+003	2.6265507E+000	0.0000000E+000
1	4.560000216588378E+003	2.6271806E+000	0.0000000E+000
1	4.620000219438225E+003	2.6279290E+000	0.0000000E+000
1	4.680000222288072E+003	2.6285589E+000	0.0000000E+000
1	4.740000225137919E+003	2.6292284E+000	0.0000000E+000
1	4.800000227987766E+003	2.6298192E+000	0.0000000E+000
1	4.860000230837613E+003	2.6304100E+000	0.0000000E+000
1	4.920000233687460E+003	2.6310792E+000	0.0000000E+000
1	4.980000236537308E+003	2.6317093E+000	0.0000000E+000
1	5.040000239387155E+003	2.6323395E+000	0.0000000E+000
1	5.100000242237002E+003	2.6329696E+000	0.0000000E+000
1	5.160000245086849E+003	2.6335208E+000	0.0000000E+000
1	5.220000247936696E+003	2.6340327E+000	0.0000000E+000
1	5.280000250786543E+003	2.6347022E+000	0.0000000E+000
1	5.340000253636390E+003	2.6352930E+000	0.0000000E+000
1	5.400000256486237E+003	2.6358836E+000	0.0000000E+000
1	5.460000259336084E+003	2.6363957E+000	0.0000000E+000
1	5.520000262185931E+003	2.6370256E+000	0.0000000E+000
1	5.580000265035778E+003	2.6375377E+000	0.0000000E+000
1	5.640000267885625E+003	2.6382072E+000	0.0000000E+000
1	5.700000270735472E+003	2.6386008E+000	0.0000000E+000
1	5.760000273585320E+003	2.6391523E+000	0.0000000E+000
1	5.820000276435167E+003	2.6397035E+000	0.0000000E+000
1	5.880000279285014E+003	2.6402550E+000	0.0000000E+000
1	5.940000282134861E+003	2.6406879E+000	0.0000000E+000
1	6.000000284984708E+003	2.6412001E+000	0.0000000E+000
1	6.060000287834555E+003	2.6416333E+000	0.0000000E+000
1	6.120000290684402E+003	2.6422238E+000	0.0000000E+000
1	6.180000293534249E+003	2.6426964E+000	0.0000000E+000
1	6.240000296384096E+003	2.6432085E+000	0.0000000E+000
1	6.300000299233943E+003	2.6436810E+000	0.0000000E+000
1	6.360000302083790E+003	2.6441536E+000	0.0000000E+000
1	6.420000304933637E+003	2.6445868E+000	0.0000000E+000
1	6.480000307783484E+003	2.6449804E+000	0.0000000E+000
1	6.540000310633332E+003	2.6454923E+000	0.0000000E+000
1	6.600000313483179E+003	2.6460831E+000	0.0000000E+000
1	6.660000316333026E+003	2.6463194E+000	0.0000000E+000
1	6.720000319182873E+003	2.6468313E+000	0.0000000E+000
1	6.780000322032720E+003	2.6472645E+000	0.0000000E+000
1	6.840000324882567E+003	2.6476977E+000	0.0000000E+000
1	6.900000327732414E+003	2.6480916E+000	0.0000000E+000
1	6.960000330582261E+003	2.6485248E+000	0.0000000E+000
1	7.020000333432108E+003	2.6489973E+000	0.0000000E+000
1	7.080000336281955E+003	2.6493516E+000	0.0000000E+000
1	7.140000339131802E+003	2.6497848E+000	0.0000000E+000
1	7.200000341981649E+003	2.6501393E+000	0.0000000E+000
1	7.260000344831496E+003	2.6505332E+000	0.0000000E+000
1	7.320000347681344E+003	2.6508482E+000	0.0000000E+000
1	7.380000350531191E+003	2.6513600E+000	0.0000000E+000
1	7.440000353381038E+003	2.6516752E+000	0.0000000E+000
1	7.500000356230885E+003	2.6521082E+000	0.0000000E+000
1	7.560000359080732E+003	2.6525414E+000	0.0000000E+000
1	7.620000361930579E+003	2.6528566E+000	0.0000000E+000
1	7.680000364780426E+003	2.6532898E+000	0.0000000E+000
1	7.740000367630273E+003	2.6536441E+000	0.0000000E+000
1	7.800000370480120E+003	2.6539986E+000	0.0000000E+000
1	7.860000373329967E+003	2.6543136E+000	0.0000000E+000
1	7.920000376179814E+003	2.6546285E+000	0.0000000E+000
1	7.980000379029661E+003	2.6549830E+000	0.0000000E+000
1	8.040000381879509E+003	2.6552980E+000	0.0000000E+000
1	8.100000384729356E+003	2.6556919E+000	0.0000000E+000
1	8.160000387579203E+003	2.6560068E+000	0.0000000E+000
1	8.220000390429050E+003	2.6564007E+000	0.0000000E+000
1	8.280000393278897E+003	2.6567552E+000	0.0000000E+000
1	8.340000396128744E+003	2.6570308E+000	0.0000000E+000
1	8.400000398978591E+003	2.6573064E+000	0.0000000E+000
1	8.460000401828438E+003	2.6576610E+000	0.0000000E+000
1	8.520000404678285E+003	2.6580153E+000	0.0000000E+000
1	8.580000407528132E+003	2.6583698E+000	0.0000000E+000
1	8.640000410377979E+003	2.6586847E+000	0.0000000E+000
1	8.700000413227826E+003	2.6588817E+000	0.0000000E+000
1	8.760000416077673E+003	2.6591966E+000	0.0000000E+000
1	8.820000418927521E+003	2.6595511E+000	0.0000000E+000
1	8.880000421777368E+003	2.6597874E+000	0.0000000E+000
1	8.940000424627215E+003	2.6600237E+000	0.0000000E+000
1	9.000000427477062E+003	2.6604962E+000	0.0000000E+000
1	9.060000430326909E+003	2.6606932E+000	0.0000000E+000
1	9.120000433176756E+003	2.6610081E+000	0.0000000E+000
1	9.180000436026603E+003	2.6613233E+000	0.0000000E+000
1	9.240000438876450E+003	2.6615989E+000	0.0000000E+000
1	9.300000441726297E+003	2.6618745E+000	0.0000000E+000
1	9.360000444576144E+003	2.6621895E+000	0.0000000E+000
1	9.420000447425991E+003	2.6623864E+000	0.0000000E+000
