cycle number	Ecell/V	Capacity/mA.h	
0.000000000000000E+000	2.9881921E+000	0.000000000000000E+000
0.000000000000000E+000	2.9851198E+000	0.000000000000000E+000
0.000000000000000E+000	2.9818900E+000	0.000000000000000E+000
0.000000000000000E+000	2.9786997E+000	0.000000000000000E+000
0.000000000000000E+000	2.9754303E+000	0.000000000000000E+000
0.000000000000000E+000	2.9719641E+000	0.000000000000000E+000
0.000000000000000E+000	2.9685373E+000	0.000000000000000E+000
0.000000000000000E+000	2.9650712E+000	0.000000000000000E+000
0.000000000000000E+000	2.9616051E+000	0.000000000000000E+000
0.000000000000000E+000	2.9581783E+000	0.000000000000000E+000
0.000000000000000E+000	2.9548302E+000	0.000000000000000E+000
0.000000000000000E+000	2.9515216E+000	0.000000000000000E+000
0.000000000000000E+000	2.9482131E+000	0.000000000000000E+000
0.000000000000000E+000	2.9449832E+000	0.000000000000000E+000
0.000000000000000E+000	2.9417927E+000	0.000000000000000E+000
0.000000000000000E+000	2.9387598E+000	0.000000000000000E+000
0.000000000000000E+000	2.9356875E+000	0.000000000000000E+000
0.000000000000000E+000	2.9326940E+000	0.000000000000000E+000
0.000000000000000E+000	2.9297793E+000	0.000000000000000E+000
0.000000000000000E+000	2.9269433E+000	0.000000000000000E+000
0.000000000000000E+000	2.9239891E+000	0.000000000000000E+000
0.000000000000000E+000	2.9214683E+000	0.000000000000000E+000
0.000000000000000E+000	2.9189475E+000	0.000000000000000E+000
0.000000000000000E+000	2.9164267E+000	0.000000000000000E+000
0.000000000000000E+000	2.9137876E+000	0.000000000000000E+000
0.000000000000000E+000	2.9115424E+000	0.000000000000000E+000
0.000000000000000E+000	2.9091396E+000	0.000000000000000E+000
0.000000000000000E+000	2.9067764E+000	0.000000000000000E+000
0.000000000000000E+000	2.9044526E+000	0.000000000000000E+000
0.000000000000000E+000	2.9020498E+000	0.000000000000000E+000
0.000000000000000E+000	2.8999228E+000	0.000000000000000E+000
0.000000000000000E+000	2.8974414E+000	0.000000000000000E+000
0.000000000000000E+000	2.8953931E+000	0.000000000000000E+000
0.000000000000000E+000	2.8933055E+000	0.000000000000000E+000
0.000000000000000E+000	2.8912575E+000	0.000000000000000E+000
0.000000000000000E+000	2.8892486E+000	0.000000000000000E+000
0.000000000000000E+000	2.8873186E+000	0.000000000000000E+000
0.000000000000000E+000	2.8853886E+000	0.000000000000000E+000
0.000000000000000E+000	2.8835766E+000	0.000000000000000E+000
0.000000000000000E+000	2.8815680E+000	0.000000000000000E+000
0.000000000000000E+000	2.8797953E+000	0.000000000000000E+000
0.000000000000000E+000	2.8780229E+000	0.000000000000000E+000
0.000000000000000E+000	2.8763685E+000	0.000000000000000E+000
0.000000000000000E+000	2.8745174E+000	0.000000000000000E+000
0.000000000000000E+000	2.8727844E+000	0.000000000000000E+000
0.000000000000000E+000	2.8711693E+000	0.000000000000000E+000
0.000000000000000E+000	2.8694363E+000	0.000000000000000E+000
0.000000000000000E+000	2.8678608E+000	0.000000000000000E+000
0.000000000000000E+000	2.8662064E+000	0.000000000000000E+000
0.000000000000000E+000	2.8644340E+000	0.000000000000000E+000
0.000000000000000E+000	2.8629766E+000	0.000000000000000E+000
0.000000000000000E+000	2.8613617E+000	0.000000000000000E+000
0.000000000000000E+000	2.8597467E+000	0.000000000000000E+000
0.000000000000000E+000	2.8582499E+000	0.000000000000000E+000
0.000000000000000E+000	2.8567927E+000	0.000000000000000E+000
0.000000000000000E+000	2.8552563E+000	0.000000000000000E+000
0.000000000000000E+000	2.8538778E+000	0.000000000000000E+000
0.000000000000000E+000	2.8524992E+000	0.000000000000000E+000
0.000000000000000E+000	2.8511600E+000	0.000000000000000E+000
0.000000000000000E+000	2.8498602E+000	0.000000000000000E+000
0.000000000000000E+000	2.8485210E+000	0.000000000000000E+000
0.000000000000000E+000	2.8471818E+000	0.000000000000000E+000
0.000000000000000E+000	2.8458033E+000	0.000000000000000E+000
0.000000000000000E+000	2.8445427E+000	0.000000000000000E+000
0.000000000000000E+000	2.8432429E+000	0.000000000000000E+000
0.000000000000000E+000	2.8419037E+000	0.000000000000000E+000
0.000000000000000E+000	2.8406041E+000	0.000000000000000E+000
0.000000000000000E+000	2.8393435E+000	0.000000000000000E+000
0.000000000000000E+000	2.8381226E+000	0.000000000000000E+000
0.000000000000000E+000	2.8369408E+000	0.000000000000000E+000
0.000000000000000E+000	2.8356805E+000	0.000000000000000E+000
0.000000000000000E+000	2.8345776E+000	0.000000000000000E+000
0.000000000000000E+000	2.8333960E+000	0.000000000000000E+000
0.000000000000000E+000	2.8322537E+000	0.000000000000000E+000
0.000000000000000E+000	2.8312294E+000	0.000000000000000E+000
0.000000000000000E+000	2.8300478E+000	0.000000000000000E+000
0.000000000000000E+000	2.8289845E+000	0.000000000000000E+000
0.000000000000000E+000	2.8278027E+000	0.000000000000000E+000
