cycle number	Ecell/V	Capacity/mA.h	
0.000000000000000E+000	2.7494802E+000	0.000000000000000E+000
0.000000000000000E+000	2.7499530E+000	0.000000000000000E+000
0.000000000000000E+000	2.7499137E+000	0.000000000000000E+000
0.000000000000000E+000	2.7497168E+000	0.000000000000000E+000
0.000000000000000E+000	2.7493622E+000	0.000000000000000E+000
0.000000000000000E+000	2.7487712E+000	0.000000000000000E+000
0.000000000000000E+000	2.7478652E+000	0.000000000000000E+000
0.000000000000000E+000	2.7467623E+000	0.000000000000000E+000
0.000000000000000E+000	2.7456594E+000	0.000000000000000E+000
0.000000000000000E+000	2.7448714E+000	0.000000000000000E+000
0.000000000000000E+000	2.7439260E+000	0.000000000000000E+000
0.000000000000000E+000	2.7427049E+000	0.000000000000000E+000
0.000000000000000E+000	2.7414837E+000	0.000000000000000E+000
0.000000000000000E+000	2.7401838E+000	0.000000000000000E+000
0.000000000000000E+000	2.7390807E+000	0.000000000000000E+000
0.000000000000000E+000	2.7377808E+000	0.000000000000000E+000
0.000000000000000E+000	2.7369931E+000	0.000000000000000E+000
0.000000000000000E+000	2.7360868E+000	0.000000000000000E+000
0.000000000000000E+000	2.7352204E+000	0.000000000000000E+000
0.000000000000000E+000	2.7341962E+000	0.000000000000000E+000
0.000000000000000E+000	2.7331326E+000	0.000000000000000E+000
0.000000000000000E+000	2.7322266E+000	0.000000000000000E+000
0.000000000000000E+000	2.7314386E+000	0.000000000000000E+000
0.000000000000000E+000	2.7307296E+000	0.000000000000000E+000
0.000000000000000E+000	2.7301388E+000	0.000000000000000E+000
0.000000000000000E+000	2.7296267E+000	0.000000000000000E+000
0.000000000000000E+000	2.7293901E+000	0.000000000000000E+000
0.000000000000000E+000	2.7293901E+000	0.000000000000000E+000
0.000000000000000E+000	2.7290356E+000	0.000000000000000E+000
0.000000000000000E+000	2.7289176E+000	0.000000000000000E+000
0.000000000000000E+000	2.7287993E+000	0.000000000000000E+000
0.000000000000000E+000	2.7285631E+000	0.000000000000000E+000
0.000000000000000E+000	2.7286024E+000	0.000000000000000E+000
0.000000000000000E+000	2.7285631E+000	0.000000000000000E+000
